City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
200,Sungaipenuh,ID,2022-06-09 02:15:31,-2.0833,101.3833,72.37,80,100,0.38,overcast clouds,0.0,0.0
201,Tigil,RU,2022-06-09 02:15:31,57.8,158.6667,56.34,62,98,0.29,overcast clouds,0.0,0.0
202,Dingle,PH,2022-06-09 02:15:32,10.9995,122.6711,85.23,72,100,6.02,overcast clouds,0.0,0.0
203,Lima,PE,2022-06-09 02:14:51,-12.0432,-77.0282,63.9,82,0,10.36,clear sky,0.0,0.0
204,Kaitangata,NZ,2022-06-09 02:15:33,-46.2817,169.8464,49.21,70,100,4.25,overcast clouds,0.0,0.0
205,Lafiagi,NG,2022-06-09 02:15:33,8.8667,5.4167,75.87,85,96,5.59,overcast clouds,0.0,0.0
206,Fairbanks,US,2022-06-09 02:15:03,64.8378,-147.7164,65.48,37,0,16.11,clear sky,0.0,0.0
207,Vrangel,RU,2022-06-09 02:15:33,42.7297,133.0839,57.4,71,6,9.62,clear sky,0.0,0.0
208,Ulaanbaatar,MN,2022-06-09 02:14:04,47.9077,106.8832,53.73,40,20,11.18,few clouds,0.0,0.0
209,Mayor Pablo Lagerenza,PY,2022-06-09 02:15:34,-19.9309,-60.7718,64.42,93,100,5.64,overcast clouds,0.0,0.0
210,Wilmington,US,2022-06-09 02:14:05,34.2257,-77.9447,78.91,83,0,8.05,clear sky,0.0,0.0
211,Vinh,VN,2022-06-09 02:10:48,18.6667,105.6667,80.76,78,100,2.95,overcast clouds,0.0,0.0
212,Port Hardy,CA,2022-06-09 02:15:14,50.6996,-127.4199,60.98,55,75,6.91,broken clouds,0.0,0.0
213,Longyearbyen,SJ,2022-06-09 02:15:35,78.2186,15.6401,40.84,70,75,6.91,broken clouds,0.0,0.0
214,Saint Anthony,US,2022-06-09 02:15:35,45.0205,-93.218,71.38,36,0,10.36,clear sky,0.0,0.0
215,Paamiut,GL,2022-06-09 02:15:36,61.994,-49.6678,37.87,86,0,10.42,clear sky,0.0,0.0
216,Hoogeveen,NL,2022-06-09 02:15:36,52.6833,6.5833,57.11,95,60,8.41,broken clouds,0.0,0.0
