City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
201,Homa Bay,KE,2022-06-07 01:44:28,-0.5273,34.4571,62.94,82,84,4.0
202,Maceio,BR,2022-06-07 01:44:03,-9.6658,-35.7353,74.64,83,75,4.61
203,Comodoro Rivadavia,AR,2022-06-07 01:44:28,-45.8667,-67.5,37.26,60,0,3.44
204,Mirabad,AF,2022-06-07 01:44:29,30.4362,61.8383,79.5,12,0,9.78
205,Sitka,US,2022-06-07 01:44:29,57.0531,-135.33,60.69,55,100,9.22
206,Quelimane,MZ,2022-06-07 01:44:29,-17.8786,36.8883,65.68,98,100,3.91
207,Sorong,ID,2022-06-07 01:44:30,-0.8833,131.25,83.34,68,54,1.23
208,Norman Wells,CA,2022-06-07 01:44:30,65.282,-126.8329,59.04,55,75,8.05
209,Birjand,IR,2022-06-07 01:44:31,32.8663,59.2211,59.47,17,0,6.91
210,Hannibal,US,2022-06-07 01:43:07,39.7084,-91.3585,68.92,88,75,4.61
211,Tautira,PF,2022-06-07 01:44:31,-17.7333,-149.15,79.34,75,20,18.79
212,Hamilton,US,2022-06-07 01:42:46,39.1834,-84.5333,68.23,95,100,9.22
213,Khatanga,RU,2022-06-07 01:44:32,71.9667,102.5,50.27,63,100,12.62
214,Vega De Alatorre,MX,2022-06-07 01:44:32,20.0333,-96.6333,81.45,79,99,13.73
215,Alekseyevsk,RU,2022-06-07 01:44:32,57.8406,108.3492,69.89,50,3,10.51
216,Meadow Lake,US,2022-06-07 01:44:33,34.8014,-106.5436,90.88,11,6,12.24
217,Mareeba,AU,2022-06-07 01:44:33,-17.0,145.4333,80.44,74,92,4.32
218,Bilibino,RU,2022-06-07 01:44:34,68.0546,166.4372,45.12,43,100,14.32
219,Omboue,GA,2022-06-07 01:44:34,-1.5746,9.2618,73.89,89,77,3.44
220,Xinyang,CN,2022-06-07 01:42:54,32.1228,114.0656,80.67,53,39,9.19
221,Saskylakh,RU,2022-06-07 01:44:35,71.9167,114.0833,46.53,51,38,5.66
222,Baykit,RU,2022-06-07 01:44:35,61.67,96.37,45.59,94,100,5.3
223,Losinyy,RU,2022-06-07 01:44:35,57.1386,61.0666,51.55,81,100,8.77
224,Petropavlovsk-Kamchatskiy,RU,2022-06-07 01:44:36,53.0452,158.6483,54.19,62,40,15.66
225,Tooele,US,2022-06-07 01:44:36,40.5308,-112.2983,69.87,35,0,9.22
226,Sidi Ali,DZ,2022-06-07 01:44:37,36.0998,0.4206,68.65,68,41,3.31
227,Cherskiy,RU,2022-06-07 01:44:37,68.75,161.3,46.42,44,79,7.76
228,Okhotsk,RU,2022-06-07 01:44:37,59.3833,143.3,52.45,76,100,7.81
229,Hami,CN,2022-06-07 01:44:38,42.8,93.45,80.51,12,60,7.78
230,Bousso,TD,2022-06-07 01:44:38,10.4795,16.7117,82.17,51,8,5.44
231,Vardo,NO,2022-06-07 01:44:39,70.3705,31.1107,44.58,81,57,13.8
232,Buraydah,SA,2022-06-07 01:45:39,26.326,43.975,79.25,10,0,6.49
233,Sioux Lookout,CA,2022-06-07 01:45:40,50.1001,-91.917,62.67,48,75,2.3
234,Gigmoto,PH,2022-06-07 01:45:40,13.7796,124.39,87.71,64,9,7.36
235,Bulgan,MN,2022-06-07 01:45:40,48.8125,103.5347,46.85,84,100,9.1
236,Tura,IN,2022-06-07 01:45:41,25.5198,90.2201,78.62,92,100,5.55
237,Barabinsk,RU,2022-06-07 01:45:41,55.3571,78.357,56.5,58,43,6.67
238,Leninskoye,KZ,2022-06-07 01:45:42,41.7589,69.3864,76.78,28,0,3.2
239,Neuquen,AR,2022-06-07 01:45:38,-38.9516,-68.0591,48.09,81,0,4.61
240,Chapleau,CA,2022-06-07 01:45:42,47.8405,-83.4034,53.69,94,100,4.61
241,Northam,GB,2022-06-07 01:45:42,51.0333,-4.2167,56.66,94,24,2.86
242,Caravelas,BR,2022-06-07 01:45:43,-17.7125,-39.2481,66.94,84,5,1.39
243,Yerbogachen,RU,2022-06-07 01:45:43,61.2767,108.0108,67.5,44,10,12.84
244,Skuodas,LT,2022-06-07 01:45:44,56.2667,21.5333,62.46,87,98,7.49
245,Portalegre,PT,2022-06-07 01:45:44,39.2938,-7.4312,57.4,96,52,3.24
246,Ketchikan,US,2022-06-07 01:45:44,55.3422,-131.6461,52.27,93,100,8.05
247,Bonthe,SL,2022-06-07 01:45:45,7.5264,-12.505,78.13,83,43,5.17
248,Port Alfred,ZA,2022-06-07 01:45:45,-33.5906,26.891,63.21,40,0,4.7
249,Hasaki,JP,2022-06-07 01:45:46,35.7333,140.8333,66.29,86,100,25.75
250,Matamoros,MX,2022-06-07 01:45:46,25.5333,-103.25,100.51,10,40,6.91
251,Begun,IN,2022-06-07 01:45:46,24.9833,75.0,86.81,29,0,12.35
252,Vryburg,ZA,2022-06-07 01:45:47,-26.9566,24.7284,46.85,56,59,4.92
253,Paragominas,BR,2022-06-07 01:45:47,-2.9667,-47.4833,70.29,99,100,2.33
254,Evensk,RU,2022-06-07 01:45:48,61.95,159.2333,58.75,47,96,1.77
255,Lauchhammer,DE,2022-06-07 01:45:48,51.5,13.8,62.11,81,100,4.36
256,Thiers,FR,2022-06-07 01:45:48,45.8333,3.5,57.52,92,6,3.42
257,Paysandu,UY,2022-06-07 01:45:49,-32.3214,-58.0756,51.6,89,0,4.34
